tradeoff	uninfected	susceptible	resistantA	resistantB	multiResistant
0.99	0.5000018827594434	0.49997342957100577	7.999887795838356E-6	7.999887795838356E-6	8.687891557295716E-6
0.98	0.5000018627540685	0.4999726494278118	7.999888307793857E-6	7.999888307793857E-6	9.48804150225866E-6
0.97	0.5000018392035672	0.4999717310336249	7.999888910436284E-6	7.999888910436284E-6	1.0429984989460771E-5
0.96	0.5000018110739847	0.49997063406991943	7.999889630254445E-6	7.999889630254445E-6	1.1555076835403703E-5
0.95	0.5000017768859898	0.49996930084752744	7.999890505103624E-6	7.999890505103624E-6	1.2922485472898797E-5
0.94	0.500001734446126	0.4999676458286431	7.999891591112901E-6	7.999891591112901E-6	1.4619942039076151E-5
0.9299999999999999	0.5000016803567507	0.49996553651389236	7.999892975197846E-6	7.999892975197846E-6	1.6783341188241148E-5
0.92	0.5000016090582188	0.4999627561015275	7.999894799711161E-6	7.999894799711161E-6	1.9635050648185967E-5
0.91	0.5000015107838905	0.4999589237150797	7.999897314463053E-6	7.999897314463053E-6	2.3565704249885702E-5
0.9	0.5000013666523921	0.49995330304946506	7.999901002720023E-6	7.999901002720023E-6	2.9330495545415607E-5
0.89	0.5000011347988671	0.4999442615045963	7.99990693572026E-6	7.99990693572026E-6	3.860388266182484E-5
0.88	0.5000007001059694	0.49992730987286976	7.999918059259887E-6	7.999918059259887E-6	5.599018506503123E-5
0.87	0.49999958939816486	0.49988399582381426	7.999946481680334E-6	7.999946481680334E-6	1.0041488509678012E-4
0.86	0.4999907071885923	0.49953761810397385	8.000173775336124E-6	8.000173775336124E-6	4.556743598512835E-4
0.85	0.48309872312324154	1.2969587686272933E-4	7.925819544183054E-6	7.925819544183054E-6	0.5167557293608169
0.84	0.47893233512643985	6.476033930389035E-5	7.5554811235424985E-6	7.5554811235424985E-6	0.520987793572013
0.83	0.4748383532730278	4.3628236605615346E-5	7.228695596583672E-6	7.228695596583672E-6	0.5251035610991582
0.8200000000000001	0.47081404706991936	3.31556995851054E-5	6.938215818947055E-6	6.938215818947055E-6	0.529138920798861
0.81	0.46685748855065484	2.6901768631770562E-5	6.6783114526393215E-6	6.6783114526393215E-6	0.5331022530578127
0.8	0.4629669280207568	2.2744734857164616E-5	6.444396858387254E-6	6.444396858387254E-6	0.5369974384506606
0.79	0.45914070552368447	1.978140294093102E-5	6.232759484228902E-6	6.232759484228902E-6	0.5408270475543978
0.78	0.45537722730382457	1.7562164111376377E-5	6.040361656964643E-6	6.040361656964643E-6	0.5445931298087507
0.77	0.4516749566008973	1.5838017414584406E-5	5.864693939100592E-6	5.864693939100592E-6	0.548297475993808
0.76	0.44803240878062844	1.4459912741546364E-5	5.70366510632776E-6	5.70366510632776E-6	0.5519417239764084
0.75	0.4444481480948125	1.3333173319946542E-5	5.555518516440734E-6	5.555518516440734E-6	0.5555274076948394
0.74	0.4409207851702051	1.2394773763649785E-5	5.418767772164096E-6	5.418767772164096E-6	0.5590559825204905
0.73	0.43744897487830514	1.1601133542636808E-5	5.292146678661649E-6	5.292146678661649E-6	0.5625288396947963
0.72	0.4340314144347671	1.0921154958322957E-5	5.174569923247804E-6	5.174569923247804E-6	0.5659473152704261
0.71	0.4306668416557504	1.033205245316294E-5	5.065101889721583E-6	5.065101889721583E-6	0.5693126960880128
0.7	0.42735403333293487	9.816749363588699E-6	4.9629317095025905E-6	4.9629317095025905E-6	0.5726262240542827
0.69	0.4240918037052227	9.36219536455626E-6	4.8673531413908756E-6	4.8673531413908756E-6	0.5758890993931276
0.6799999999999999	0.4208790030133951	8.958245860238633E-6	4.777748223761113E-6	4.777748223761113E-6	0.5791024832442973
0.6699999999999999	0.4177145161284128	8.59689590537597E-6	4.6935738990162255E-6	4.6935738990162255E-6	0.5822674998278834
0.6599999999999999	0.41459726124658014	8.271744353688224E-6	4.6143509983892995E-6	4.6143509983892995E-6	0.5853852383070691
0.6499999999999999	0.4115261886462984	7.977611362684691E-6	4.53965511503699E-6	4.53965511503699E-6	0.5884567544321107
0.64	0.4085002795021022	7.710260381788643E-6	4.469108998265709E-6	4.469108998265709E-6	0.5914830720195171
0.63	0.4055185447523152	7.4661927759754765E-6	4.4023761811143565E-6	4.4023761811143565E-6	0.5944651843025474
0.62	0.4025800240171188	7.2424938685816405E-6	4.339155614099103E-6	4.339155614099103E-6	0.5974040551777829
0.61	0.3996837845641647	7.0367159857071494E-6	4.27917712453048E-6	4.27917712453048E-6	0.6003006203656001
0.6	0.39682892031913153	6.846788526795983E-6	4.222197556928118E-6	4.222197556928118E-6	0.6031557884972261
0.59	0.3940145509188334	6.670948045502874E-6	4.1679974782500874E-6	4.1679974782500874E-6	0.6059704421381612
0.5800000000000001	0.39123982080467434	6.50768333200499E-6	4.11637835380137E-6	4.11637835380137E-6	0.6087454387552861
0.5700000000000001	0.38850389835438875	6.355691871339249E-6	4.067160117199819E-6	4.067160117199819E-6	0.6114816116335093
0.56	0.3858059750501547	6.213845020255731E-6	4.020179071709339E-6	4.020179071709339E-6	0.6141797707466814
0.55	0.38314526468127463	6.081159931661757E-6	3.975286071394389E-6	3.975286071394389E-6	0.6168407035866506
0.54	0.3805210025797381	5.956776749002432E-6	3.932344939514164E-6	3.932344939514164E-6	0.6194651759536315
0.53	0.3779324448870761	5.8399399515254784E-6	3.891231088823721E-6	3.891231088823721E-6	0.6220539327107951
0.52	0.37537886785100594	5.729982994953392E-6	3.851830314336674E-6	3.851830314336674E-6	0.6246076985053702
0.51	0.3728595671504582	5.626315587822463E-6	3.8140377339128997E-6	3.8140377339128997E-6	0.6271271784584863
0.5	0.37037385724764416	5.528413090497131E-6	3.7777568559750937E-6	3.7777568559750937E-6	0.6296130588255512
0.49	0.36792107076590774	5.435807634893058E-6	3.7428987569058093E-6	3.7428987569058093E-6	0.6320660076289428
0.48	0.3655005578921636	5.3480806476426815E-6	3.709381353359801E-6	3.709381353359801E-6	0.6344866752644833
0.47	0.3631116858027934	5.264856524577612E-6	3.6771287569561313E-6	3.6771287569561313E-6	0.6368756950831685
0.45999999999999996	0.36075383811192885	5.185797254870408E-6	3.6460707006710506E-6	3.6460707006710506E-6	0.6392336839494167
0.44999999999999996	0.3584264143411082	5.1105978325599095E-6	3.6161420278059337E-6	3.6161420278059337E-6	0.6415612427770022
0.43999999999999995	0.35612882940934365	5.038982324120614E-6	3.5872822357088492E-6	3.5872822357088492E-6	0.6438589570438593
0.42999999999999994	0.35386051314268796	4.970700485190295E-6	3.5594350675250973E-6	3.5594350675250973E-6	0.6461273972866912
0.42000000000000004	0.3516209098024332	4.905524839020815E-6	3.53254814618055E-6	3.53254814618055E-6	0.6483671195764332
0.41000000000000003	0.34940947763112307	4.843248144772451E-6	3.506572645587064E-6	3.506572645587064E-6	0.6505786659754438
0.4	0.3472256884155941	4.783681196281907E-6	3.481462994726987E-6	3.481462994726987E-6	0.6527625649772185
0.39	0.3450690270663088	4.726650902049098E-6	3.4571766108446233E-6	3.4571766108446233E-6	0.6549193319295676
0.38	0.342938991212272	4.671998605399944E-6	3.4336736584572294E-6	3.4336736584572294E-6	0.6570494694418062
0.37	0.34083509081086244	4.619578610491386E-6	3.4109168313178068E-6	3.4109168313178068E-6	0.6591534677768643
0.36	0.33875684777194387	4.569256885319547E-6	3.3888711548186464E-6	3.3888711548186464E-6	0.6612318052288619
0.35	0.33670379559564567	4.52090991742E-6	3.3675038066345395E-6	3.3675038066345395E-6	0.6632849484868242
0.33999999999999997	0.3346754790232388	4.474423701691782E-6	3.3467839536712075E-6	3.3467839536712075E-6	0.6653133529851517
0.32999999999999996	0.33267145370055895	4.42969284288309E-6	3.32668260361532E-6	3.32668260361532E-6	0.6673174632413919
0.31999999999999995	0.33069128585345	4.3866197578654644E-6	3.307172469582984E-6	3.307172469582984E-6	0.6692977131818535
0.30999999999999994	0.3287345519747324	4.345113964988193E-6	3.2882278465380126E-6	3.2882278465380126E-6	0.6712545264556093
0.29999999999999993	0.3268008385222226	4.30509144962092E-6	3.2698244983028585E-6	3.2698244983028585E-6	0.6731883167373328
