tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.99	0.37037313356645196	2.764192834299722E-6	2.764192834299722E-6	0.20987183262858486	0.10493688972510126	0.10493688972510126	0.20987183262858486	1.946683596553403E-6	1.946683596553403E-6
0.98	0.3703731335663079	2.764192834281835E-6	2.764192834281835E-6	0.20987179246692603	0.10493686964435778	0.10493686964435778	0.20987179246692603	2.0069145095331E-6	2.0069145095331E-6
0.97	0.37037313356630464	2.764192834281725E-6	2.764192834281725E-6	0.20987175058404245	0.10493684873069536	0.10493684873069536	0.20987175058404245	2.0697083999055353E-6	2.0697083999055353E-6
0.96	0.37037313356629453	2.76419283428141E-6	2.76419283428141E-6	0.20987170690813978	0.10493682687294437	0.10493682687294437	0.20987170690813978	2.1352324155826908E-6	2.1352324155826908E-6
0.95	0.3703731335662911	2.764192834280189E-6	2.764192834280189E-6	0.20987166127529017	0.10493680405647965	0.10493680405647965	0.20987166127529017	2.203668561585847E-6	2.203668561585847E-6
0.94	0.3703731335662541	2.764192834280078E-6	2.764192834280078E-6	0.20987161362115786	0.10493678022941073	0.10493678022941073	0.20987161362115786	2.2752153908684607E-6	2.2752153908684607E-6
0.9299999999999999	0.3703731335662502	2.764192834279762E-6	2.764192834279762E-6	0.20987156368694435	0.10493675526230245	0.10493675526230245	0.20987156368694435	2.3500899241834365E-6	2.3500899241834365E-6
0.92	0.3703731335662401	2.7641928342796397E-6	2.7641928342796397E-6	0.209871511408884	0.10493672912323829	0.10493672912323829	0.209871511408884	2.428529852525438E-6	2.428529852525438E-6
0.91	0.37037313356623647	2.764192834275141E-6	2.764192834275141E-6	0.20987145652450723	0.10493670169838928	0.10493670169838928	0.20987145652450723	2.5107960577008395E-6	2.5107960577008395E-6
0.9	0.3703731335656607	2.7641928342750365E-6	2.7641928342750365E-6	0.20987139897582505	0.10493667289852335	0.10493667289852335	0.20987139897582505	2.59717551106789E-6	2.59717551106789E-6
0.89	0.37037313356565005	2.764192834274742E-6	2.764192834274742E-6	0.20987133843948533	0.10493664263047656	0.10493664263047656	0.20987133843948533	2.68798462122342E-6	2.68798462122342E-6
0.88	0.37037313356564644	2.764192834274717E-6	2.764192834274717E-6	0.20987127467818423	0.10493661077556096	0.10493661077556096	0.20987127467818423	2.7835731119140026E-6	2.7835731119140026E-6
0.87	0.37037313356560714	2.764192834274717E-6	2.764192834274717E-6	0.2098712075106132	0.10493657718987157	0.10493657718987157	0.2098712075106132	2.8843285253269662E-6	2.8843285253269662E-6
0.86	0.3703731335655964	2.7641928342750293E-6	2.7641928342750293E-6	0.2098711366092561	0.10493654174069823	0.10493654174069823	0.2098711366092561	2.9906814874480727E-6	2.9906814874480727E-6
0.85	0.370373133565593	2.7641928342796316E-6	2.7641928342796316E-6	0.2098710616442264	0.10493650425855888	0.10493650425855888	0.2098710616442264	3.1031118758778564E-6	3.1031118758778564E-6
0.84	0.3703731335654495	2.7641928342801826E-6	2.7641928342801826E-6	0.20987098232512647	0.10493646457320835	0.10493646457320835	0.20987098232512647	3.2221560831890144E-6	3.2221560831890144E-6
0.83	0.3703731335654489	2.764192834299853E-6	2.764192834299853E-6	0.20987089814054208	0.10493642248886538	0.10493642248886538	0.20987089814054208	3.3484156177833918E-6	3.3484156177833918E-6
0.8200000000000001	0.37037313356559276	2.7641928343069637E-6	2.7641928343069637E-6	0.20987080867373942	0.1049363777732771	0.1049363777732771	0.20987080867373942	3.4825673354025597E-6	3.4825673354025597E-6
0.81	0.3703731335656064	2.7641928349497588E-6	2.7641928349497588E-6	0.20987071350435801	0.1049363301707706	0.1049363301707706	0.20987071350435801	3.625375676436701E-6	3.625375676436701E-6
0.8	0.37037313356566093	2.7641928350500657E-6	2.7641928350500657E-6	0.209870611925383	0.10493627939872298	0.10493627939872298	0.209870611925383	3.777707398867253E-6	3.777707398867253E-6
0.79	0.3703731335663072	2.764192835372643E-6	2.764192835372643E-6	0.20987050339275426	0.10493622510693867	0.10493622510693867	0.20987050339275426	3.940549426317854E-6	3.940549426317854E-6
0.78	0.37037313356886925	2.7641928355069608E-6	2.7641928355069608E-6	0.209870387070771	0.10493616695368692	0.10493616695368692	0.209870387070771	4.115030612842708E-6	4.115030612842708E-6
0.77	0.3703731335699381	2.7641928356565468E-6	2.7641928356565468E-6	0.20987026209575071	0.10493610448456005	0.10493610448456005	0.20987026209575071	4.302448493875123E-6	4.302448493875123E-6
0.76	0.3703731335733891	2.7641928368282318E-6	2.7641928368282318E-6	0.20987012751961984	0.10493603719721185	0.10493603719721185	0.20987012751961984	4.504302419709494E-6	4.504302419709494E-6
0.75	0.3703731335846176	2.764192837432479E-6	2.764192837432479E-6	0.20986998217826353	0.10493596451103962	0.10493596451103962	0.20986998217826353	4.722334942312331E-6	4.722334942312331E-6
0.74	0.37037313362854934	2.7641928390932847E-6	2.7641928390932847E-6	0.20986982466683612	0.10493588575632691	0.10493588575632691	0.20986982466683612	4.9585839908437736E-6	4.9585839908437736E-6
0.73	0.37037313373304925	2.76419284098386E-6	2.76419284098386E-6	0.20986965336152302	0.10493580013281938	0.10493580013281938	0.20986965336152302	5.215449298859301E-6	5.215449298859301E-6
0.72	0.37037313379935305	2.764192844287889E-6	2.764192844287889E-6	0.2098694664630285	0.10493570669435179	0.10493570669435179	0.2098694664630285	5.495777838436543E-6	5.495777838436543E-6
0.71	0.37037313387515536	2.7641928480554845E-6	2.7641928480554845E-6	0.20986926159782954	0.10493560427691608	0.10493560427691608	0.20986926159782954	5.802974986749893E-6	5.802974986749893E-6
0.7	0.3703731340536593	2.7641928537079543E-6	2.7641928537079543E-6	0.20986903607586127	0.10493549155865756	0.10493549155865756	0.20986903607586127	6.141150881244779E-6	6.141150881244779E-6
0.69	0.37037313432687025	2.7641928616234548E-6	2.7641928616234548E-6	0.20986878650687588	0.10493536682262516	0.10493536682262516	0.20986878650687588	6.515315692391842E-6	6.515315692391842E-6
0.6799999999999999	0.3703731347297468	2.7641928722732614E-6	2.7641928722732614E-6	0.2098685087665593	0.10493522802188802	0.10493522802188802	0.2098685087665593	6.931643859605092E-6	6.931643859605092E-6
0.6699999999999999	0.3703731352042941	2.764192886592895E-6	2.764192886592895E-6	0.20986819776470728	0.10493507259852047	0.10493507259852047	0.20986819776470728	7.397837316035328E-6	7.397837316035328E-6
0.6599999999999999	0.3703731359532078	2.7641929064336347E-6	2.7641929064336347E-6	0.2098678468948693	0.10493489731663513	0.10493489731663513	0.2098678468948693	7.92363347257892E-6	7.92363347257892E-6
0.6499999999999999	0.3703731370037792	2.7641929331041688E-6	2.7641929331041688E-6	0.20986744783982572	0.10493469796767119	0.10493469796767119	0.20986744783982572	8.521529529979037E-6	8.521529529979037E-6
0.64	0.37037313844457687	2.7641929688816364E-6	2.7641929688816364E-6	0.2098669896364131	0.10493446911438144	0.10493446911438144	0.2098669896364131	9.20783808764714E-6	9.20783808764714E-6
0.63	0.37037314039158137	2.76419301834451E-6	2.76419301834451E-6	0.2098664577610649	0.1049342035551286	0.1049342035551286	0.2098664577610649	1.0004264379730322E-5	1.0004264379730322E-5
0.62	0.37037314317551745	2.7641930842393224E-6	2.7641930842393224E-6	0.2098658324685203	0.10493389139951055	0.10493389139951055	0.2098658324685203	1.0940331636243332E-5	1.0940331636243332E-5
0.61	0.3703731470750091	2.7641931743677183E-6	2.7641931743677183E-6	0.20986508612368285	0.1049335189163535	0.1049335189163535	0.20986508612368285	1.2057237739880406E-5	1.2057237739880406E-5
