tradeoff	uninfected	susceptible	resistantA	resistantB	multiResistant
0.99	0.2777812093576333	3.5373939541785157E-6	0.7222094171547778	2.8888693846749416E-6	2.9472242497521764E-6
0.98	0.27778120935754164	3.5373939541774145E-6	0.7222093576032025	2.8888693846743546E-6	3.006775916342099E-6
0.97	0.27778120935744816	3.5373939541763003E-6	0.7222092968237714	2.8888693846737612E-6	3.0675554422193375E-6
0.96	0.27778120935735273	3.537393954175151E-6	0.7222092347781105	2.8888693846731463E-6	3.129601197666841E-6
0.95	0.2777812093572552	3.5373939541739764E-6	0.7222091714262363	2.888869384672519E-6	3.192953168544843E-6
0.94	0.2777812093571557	3.5373939541727893E-6	0.7222091067264632	2.8888693846718868E-6	3.2576530422250574E-6
0.9299999999999999	0.277781209357054	3.5373939541715713E-6	0.7222090406353084	2.888869384671238E-6	3.3237442990689916E-6
0.92	0.2777812093569501	3.5373939541703206E-6	0.7222089731074008	2.8888693846705696E-6	3.391272309872221E-6
0.91	0.2777812093568439	3.5373939541690535E-6	0.7222089040953783	2.888869384669895E-6	3.460284439733493E-6
0.9	0.27778120935673534	3.537393954167737E-6	0.7222088335497652	2.8888693846691894E-6	3.5308301588482976E-6
0.89	0.2777812093566244	3.537393954166413E-6	0.7222087614188754	2.8888693846684842E-6	3.602961160771777E-6
0.88	0.2777812093565109	3.537393954165058E-6	0.7222086876486622	2.888869384667763E-6	3.676731488744706E-6
0.87	0.27778120935639483	3.5373939541636617E-6	0.7222086121825956	2.8888693846670176E-6	3.752197670731723E-6
0.86	0.277781209356276	3.537393954162233E-6	0.7222085349615206	2.8888693846662536E-6	3.829418863880685E-6
0.85	0.2777812093561544	3.537393954160774E-6	0.7222084559234969	2.888869384665476E-6	3.908457009179023E-6
0.84	0.2777812093560299	3.537393954159283E-6	0.7222083750036338	2.8888693846646806E-6	3.989376997156899E-6
0.83	0.27778120935590245	3.537393954157759E-6	0.7222082921339137	2.8888693846638683E-6	4.072246845568798E-6
0.8200000000000001	0.27778120935577183	3.537393954156187E-6	0.7222082072429988	2.8888693846630285E-6	4.157137890076068E-6
0.81	0.277781209355638	3.5373939541545806E-6	0.7222081202560335	2.888869384662171E-6	4.2441249890539955E-6
0.8	0.2777812093555008	3.5373939541529336E-6	0.7222080310944157	2.888869384661292E-6	4.333286743759182E-6
0.79	0.27778120935536016	3.5373939541512438E-6	0.7222079396755644	2.88886938466039E-6	4.424705735218393E-6
0.78	0.2777812093552159	3.5373939541495213E-6	0.7222078459126661	2.888869384659473E-6	4.5184687793394175E-6
0.77	0.2777812093550679	3.537393954147747E-6	0.7222077497143916	2.888869384658526E-6	4.614667201900442E-6
0.76	0.277781209354916	3.5373939541459274E-6	0.7222076509846106	2.8888693846575554E-6	4.713397135248987E-6
0.75	0.27778120935476003	3.5373939541440474E-6	0.7222075496220615	2.888869384656551E-6	4.814759838736398E-6
0.74	0.2777812093545999	3.5373939541421386E-6	0.7222074455200174	2.8888693846555344E-6	4.918862045133344E-6
0.73	0.2777812093544353	3.537393954140159E-6	0.7222073385658906	2.8888693846544764E-6	5.02581633551731E-6
0.72	0.2777812093542662	3.5373939541381232E-6	0.7222072286408485	2.8888693846533897E-6	5.135741545400663E-6
0.71	0.27778120935409234	3.5373939541360404E-6	0.7222071156193629	2.888869384652278E-6	5.248763205178758E-6
0.7	0.27778120935391354	3.537393954133906E-6	0.7222069993687305	2.8888693846511412E-6	5.3650140183304006E-6
0.69	0.2777812093537295	3.537393954131702E-6	0.7222068797485522	2.8888693846499655E-6	5.484634381200484E-6
0.6799999999999999	0.27778120935354006	3.5373939541294204E-6	0.7222067566101728	2.888869384648747E-6	5.607772948645256E-6
0.6699999999999999	0.2777812093533449	3.5373939541270855E-6	0.7222066297960674	2.8888693846475032E-6	5.734587250331845E-6
0.6599999999999999	0.2777812093531439	3.537393954124673E-6	0.7222064991391554	2.8888693846462157E-6	5.865244363064125E-6
0.6499999999999999	0.2777812093529367	3.537393954122191E-6	0.722206364462081	2.888869384644892E-6	5.999921645168935E-6
0.64	0.277781209352723	3.5373939541196253E-6	0.7222062255763997	2.888869384643522E-6	6.138807539729947E-6
0.63	0.27778120935250256	3.5373939541169825E-6	0.7222060822817059	2.8888693846421123E-6	6.28210245431916E-6
0.62	0.27778120935227496	3.537393954114242E-6	0.72220593436466	2.8888693846406486E-6	6.430019725862448E-6
0.61	0.2777812093520399	3.537393954111425E-6	0.7222057815979409	2.888869384639146E-6	6.5827866804089186E-6
0.6	0.27778120935179706	3.5373939541085054E-6	0.722205623739064	2.8888693846375866E-6	6.740645798875436E-6
0.59	0.27778120935154593	3.537393954105487E-6	0.7222054605291114	2.8888693846359747E-6	6.903856001340215E-6
0.5800000000000001	0.27778120935128614	3.5373939541023725E-6	0.7222052916913086	2.8888693846343132E-6	7.07269406419227E-6
0.5700000000000001	0.27778120935101724	3.537393954099155E-6	0.7222051169294568	2.888869384632598E-6	7.247456186452465E-6
0.56	0.2777812093507388	3.5373939540958114E-6	0.722204935926197	2.888869384630813E-6	7.4284597239123E-6
0.55	0.27778120935045014	3.5373939540923377E-6	0.7222047483410953	2.8888693846289583E-6	7.616045112448783E-6
0.54	0.2777812093501509	3.537393954088742E-6	0.7222045538085007	2.8888693846270376E-6	7.810578005037707E-6
0.53	0.27778120934984035	3.5373939540850397E-6	0.7222043519351696	2.8888693846250666E-6	8.01245165068929E-6
0.52	0.27778120934951783	3.5373939540811658E-6	0.7222041422975941	2.888869384622999E-6	8.22208954787205E-6
0.51	0.27778120934918266	3.537393954077153E-6	0.7222039244390686	2.8888693846208602E-6	8.439948410099827E-6
0.5	0.27778120934883405	3.537393954072979E-6	0.7222036978663412	2.888869384618634E-6	8.666521487382798E-6
0.49	0.2777812093484712	3.537393954068631E-6	0.7222034620458977	2.8888693846163146E-6	8.902342294380686E-6
0.48	0.27778120934809325	3.537393954064077E-6	0.7222032163997616	2.8888693846138807E-6	9.147988804567128E-6
0.47	0.27778120934769923	3.537393954059348E-6	0.7222029603007798	2.8888693846113565E-6	9.404088179810369E-6
0.45999999999999996	0.27778120934728806	3.537393954054414E-6	0.7222026930672537	2.8888693846087235E-6	9.671322116844665E-6
0.44999999999999996	0.2777812093468587	3.53739395404927E-6	0.7222024139568947	2.888869384605981E-6	9.950432906592236E-6
0.43999999999999995	0.2777812093464097	3.5373939540438747E-6	0.7222021221599286	2.888869384603101E-6	1.024223031974116E-5
0.42999999999999994	0.2777812093459399	3.537393954038262E-6	0.7222018167912694	2.8888693846001113E-6	1.0547599453084035E-5
0.42000000000000004	0.2777812093454477	3.537393954032369E-6	0.72220149688152	2.888869384596969E-6	1.086750969674011E-5
0.41000000000000003	0.2777812093449315	3.537393954026173E-6	0.7222011613667184	2.8888693845936616E-6	1.1203025013628992E-5
0.4	0.27778120934438955	3.53739395401967E-6	0.7222008090765127	2.8888693845901913E-6	1.1555315760834316E-5
0.39	0.2777812093438197	3.53739395401285E-6	0.7222004387205166	2.8888693845865562E-6	1.1925672329601101E-5
0.38	0.27778120934321987	3.537393954005648E-6	0.7222000488725059	2.888869384582712E-6	1.2315520938971778E-5
0.37	0.2777812093425876	3.537393953998019E-6	0.7221996379520782	2.888869384578632E-6	1.2726441990497267E-5
0.36	0.2777812093419203	3.5373939539900364E-6	0.7221992042032581	2.888869384574377E-6	1.3160191481998715E-5
0.35	0.2777812093412148	3.53739395398158E-6	0.7221987456693546	2.8888693845698676E-6	1.361872609217433E-5
0.33999999999999997	0.27778120934046785	3.53739395397262E-6	0.7221982601635021	2.8888693845650878E-6	1.4104232691799723E-5
0.32999999999999996	0.2777812093396756	3.5373939539631347E-6	0.7221977452337688	2.8888693845600297E-6	1.4619163220469425E-5
0.31999999999999995	0.2777812093388338	3.5373939539530304E-6	0.7221971981217272	2.888869384554637E-6	1.5166276102564028E-5
0.30999999999999994	0.27778120933793776	3.5373939539422464E-6	0.7221966157130401	2.888869384548876E-6	1.5748685679004737E-5
0.29999999999999993	0.27778120933698197	3.5373939539308128E-6	0.7221959944781554	2.888869384542781E-6	1.636992152509496E-5
0.29000000000000004	0.27778120933596023	3.537393953918566E-6	0.7221953304006633	2.8888693845362484E-6	1.7034000040678994E-5
0.28	0.27778120933486555	3.537393953905428E-6	0.7221946188904168	2.8888693845292375E-6	1.7745511380612674E-5
0.27	0.2777812093336897	3.537393953891301E-6	0.7221938546772663	2.8888693845216947E-6	1.850972570254217E-5
0.26	0.27778120933242345	3.537393953876124E-6	0.7221930316803046	2.888869384513599E-6	1.9332723932647963E-5
0.25	0.27778120933105593	3.537393953859704E-6	0.7221921428456876	2.888869384504835E-6	2.0221559914160682E-5
0.24	0.27778120932957445	3.537393953841988E-6	0.7221911799440017	2.8888693844953943E-6	2.11844630916577E-5
0.22999999999999998	0.2777812093279641	3.5373939538226157E-6	0.7221901333146258	2.8888693844850465E-6	2.2231094067679713E-5
0.21999999999999997	0.27778120932620737	3.537393953801587E-6	0.722188991540604	2.8888693844738356E-6	2.3372869854079316E-5
0.20999999999999996	0.2777812093242833	3.5373939537784535E-6	0.7221877410303232	2.88886938446148E-6	2.462338204877457E-5
0.19999999999999996	0.2777812093221669	3.537393953753084E-6	0.7221863654740309	2.8888693844479478E-6	2.5998940460521946E-5
0.18999999999999995	0.27778120931982764	3.5373939537250447E-6	0.7221848451284371	2.8888693844329913E-6	2.7519288397428516E-5
0.17999999999999994	0.27778120931722855	3.537393953693874E-6	0.7221831558630601	2.888869384416361E-6	2.920855637437756E-5
0.16999999999999993	0.2777812093143236	3.5373939536589626E-6	0.7221812678699199	2.8888693843977196E-6	3.109655240722678E-5
0.16000000000000003	0.2777812093110556	3.5373939536198276E-6	0.7221791438894639	2.888869384376853E-6	3.322053614313582E-5
0.15000000000000002	0.27778120930735173	3.537393953575369E-6	0.7221767367267	2.888869384353125E-6	3.5627702605157786E-5
0.14	0.2777812093031189	3.537393953524636E-6	0.7221739857032077	2.888869384326065E-6	3.837873033797041E-5
0.13	0.2777812092982348	3.5373939534659484E-6	0.7221708114713518	2.8888693842947292E-6	4.155296705850489E-5
0.12	0.27778120929253675	3.537393953397791E-6	0.7221671082361851	2.888869384258405E-6	4.525620795900592E-5
0.10999999999999999	0.2777812092858025	3.5373939533168765E-6	0.7221627317344405	2.8888693842152034E-6	4.963271641214483E-5
0.09999999999999998	0.27778120927772154	3.5373939532198506E-6	0.7221574800023935	2.8888693841634133E-6	5.488445652206187E-5
0.08999999999999997	0.2777812092678449	3.5373939531014807E-6	0.7221510613225753	2.8888693841002793E-6	6.130314623588923E-5
0.07999999999999996	0.277781209255499	3.537393952953434E-6	0.7221430381332811	2.8888693840212964E-6	6.932634788393374E-5
0.06999999999999995	0.2777812092396257	3.537393952763144E-6	0.7221327228662304	2.8888693839197897E-6	7.964163082858566E-5
0.05999999999999994	0.2777812092184613	3.537393952509147E-6	0.7221189696353325	2.888869383784241E-6	9.339488286649497E-5
0.04999999999999993	0.2777812091888311	3.5373939521537453E-6	0.7220997159925373	2.8888693835946167E-6	1.1264855529408615E-4
0.040000000000000036	0.27778120914438587	3.537393951620735E-6	0.7220708374542923	2.8888693833102504E-6	1.4152713800482953E-4
0.030000000000000027	0.27778120907031045	3.537393950732354E-6	0.7220227116930262	2.8888693828362825E-6	1.8965297337484015E-4
0.020000000000000018	0.2777812089221597	3.537393948954905E-6	0.721926479429665	2.8888693818878318E-6	2.858853848148981E-4
0.010000000000000009	0.27778120847770765	3.537393943624271E-6	0.7216379367141486	2.888869379043763E-6	5.744285448881841E-4
