tradeoff	uninfected	susceptible	resistantA	resistantB	multiResistant
0.99	0.27778120935763334	3.537393954178516E-6	2.888869384674942E-6	0.7222094171547777	2.947224249752177E-6
0.98	0.2777812093575417	3.537393954177422E-6	2.8888693846743597E-6	0.7222093576032037	3.0067759163421044E-6
0.97	0.27778120935744816	3.5373939541763015E-6	2.888869384673762E-6	0.7222092968237717	3.0675554422193388E-6
0.96	0.2777812093573527	3.537393954175153E-6	2.888869384673149E-6	0.7222092347781112	3.1296011976668433E-6
0.95	0.27778120935725525	3.537393954173981E-6	2.8888693846725225E-6	0.7222091714262371	3.1929531685448477E-6
0.94	0.2777812093571557	3.5373939541727906E-6	2.8888693846718876E-6	0.7222091067264634	3.2576530422250582E-6
0.9299999999999999	0.277781209357054	3.537393954171567E-6	2.8888693846712345E-6	0.7222090406353077	3.323744299068988E-6
0.92	0.2777812093569501	3.537393954170321E-6	2.88886938467057E-6	0.722208973107401	3.3912723098722214E-6
0.91	0.27778120935684397	3.537393954169055E-6	2.8888693846698962E-6	0.7222089040953785	3.4602844397334947E-6
0.9	0.2777812093567354	3.5373939541677435E-6	2.8888693846691945E-6	0.7222088335497663	3.530830158848304E-6
0.89	0.2777812093566244	3.537393954166413E-6	2.8888693846684842E-6	0.7222087614188754	3.602961160771777E-6
0.88	0.27778120935651096	3.5373939541650597E-6	2.8888693846677642E-6	0.7222086876486623	3.6767314887447077E-6
0.87	0.27778120935639483	3.5373939541636634E-6	2.888869384667018E-6	0.7222086121825957	3.7521976707317243E-6
0.86	0.27778120935627604	3.5373939541622366E-6	2.8888693846662565E-6	0.7222085349615212	3.8294188638806894E-6
0.85	0.2777812093561544	3.5373939541607805E-6	2.8888693846654806E-6	0.722208455923498	3.90845700917903E-6
0.84	0.27778120935602996	3.537393954159288E-6	2.8888693846646844E-6	0.7222083750036346	3.989376997156905E-6
0.83	0.27778120935590245	3.5373939541577583E-6	2.888869384663868E-6	0.7222082921339136	4.072246845568798E-6
0.8200000000000001	0.27778120935577183	3.5373939541561887E-6	2.88886938466303E-6	0.7222082072429992	4.157137890076071E-6
0.81	0.27778120935563805	3.5373939541545815E-6	2.8888693846621713E-6	0.7222081202560334	4.2441249890539955E-6
0.8	0.27778120935550077	3.5373939541529366E-6	2.888869384661294E-6	0.7222080310944163	4.333286743759184E-6
0.79	0.27778120935536016	3.5373939541512433E-6	2.8888693846603896E-6	0.7222079396755643	4.4247057352183925E-6
0.78	0.2777812093552159	3.537393954149522E-6	2.888869384659473E-6	0.7222078459126662	4.518468779339418E-6
0.77	0.2777812093550679	3.5373939541477468E-6	2.8888693846585257E-6	0.7222077497143915	4.614667201900441E-6
0.76	0.277781209354916	3.5373939541459274E-6	2.8888693846575554E-6	0.7222076509846106	4.713397135248987E-6
0.75	0.27778120935476003	3.5373939541440495E-6	2.888869384656552E-6	0.7222075496220618	4.814759838736398E-6
0.74	0.2777812093545999	3.537393954142131E-6	2.8888693846555284E-6	0.7222074455200159	4.918862045133336E-6
0.73	0.2777812093544353	3.5373939541401523E-6	2.8888693846544713E-6	0.7222073385658893	5.0258163355173015E-6
0.72	0.2777812093542662	3.537393954138123E-6	2.8888693846533884E-6	0.7222072286408483	5.135741545400663E-6
0.71	0.27778120935409234	3.5373939541360353E-6	2.888869384652274E-6	0.722207115619362	5.24876320517875E-6
0.7	0.27778120935391354	3.537393954133903E-6	2.8888693846511387E-6	0.7222069993687298	5.365014018330396E-6
0.69	0.27778120935372946	3.537393954131701E-6	2.8888693846499655E-6	0.7222068797485522	5.484634381200481E-6
0.6799999999999999	0.27778120935354	3.5373939541294157E-6	2.8888693846487437E-6	0.722206756610172	5.607772948645248E-6
0.6699999999999999	0.2777812093533449	3.5373939541270775E-6	2.8888693846474964E-6	0.7222066297960658	5.734587250331832E-6
0.6599999999999999	0.2777812093531438	3.5373939541246596E-6	2.8888693846462056E-6	0.722206499139153	5.865244363064102E-6
0.6499999999999999	0.27778120935293665	3.537393954122172E-6	2.888869384644878E-6	0.7222063644620776	5.9999216451689056E-6
0.64	0.27778120935272294	3.537393954119608E-6	2.8888693846435095E-6	0.7222062255763966	6.138807539729918E-6
0.63	0.2777812093525025	3.5373939541169656E-6	2.8888693846421E-6	0.7222060822817028	6.282102454319128E-6
0.62	0.2777812093522749	3.537393954114225E-6	2.888869384640636E-6	0.722205934364657	6.430019725862417E-6
0.61	0.2777812093520399	3.5373939541114184E-6	2.888869384639141E-6	0.7222057815979396	6.582786680408906E-6
0.6	0.27778120935179706	3.5373939541085093E-6	2.8888693846375895E-6	0.7222056237390647	6.740645798875445E-6
0.59	0.27778120935154593	3.5373939541055044E-6	2.888869384635988E-6	0.7222054605291147	6.903856001340245E-6
0.5800000000000001	0.2777812093512862	3.537393954102382E-6	2.88886938463432E-6	0.7222052916913102	7.0726940641922855E-6
0.5700000000000001	0.2777812093510173	3.537393954099164E-6	2.8888693846326048E-6	0.7222051169294582	7.247456186452482E-6
0.56	0.27778120935073886	3.537393954095824E-6	2.8888693846308226E-6	0.7222049359261995	7.4284597239123305E-6
0.55	0.2777812093504502	3.5373939540923385E-6	2.8888693846289583E-6	0.7222047483410952	7.616045112448786E-6
0.54	0.2777812093501509	3.5373939540887556E-6	2.8888693846270482E-6	0.7222045538085032	7.810578005037734E-6
0.53	0.27778120934984035	3.5373939540850397E-6	2.8888693846250674E-6	0.7222043519351697	8.01245165068929E-6
0.52	0.27778120934951783	3.537393954081167E-6	2.8888693846230002E-6	0.7222041422975944	8.222089547872053E-6
0.51	0.2777812093491826	3.537393954077155E-6	2.8888693846208615E-6	0.7222039244390691	8.439948410099829E-6
0.5	0.277781209348834	3.5373939540729766E-6	2.8888693846186334E-6	0.7222036978663411	8.666521487382785E-6
0.49	0.2777812093484712	3.5373939540686267E-6	2.8888693846163117E-6	0.7222034620458968	8.902342294380681E-6
0.48	0.27778120934809325	3.5373939540640773E-6	2.888869384613881E-6	0.7222032163997617	9.147988804567128E-6
