tradeoff	uninfected	susceptible	resistantA	resistantB	multiResistant
0.99	0.4950518616494133	0.5049224083456499	8.80135338596727E-6	8.80135338596727E-6	8.127298165097125E-6
0.98	0.4950518444309727	0.5049217368810285	8.801353883989506E-6	8.801353883989506E-6	8.815980232064199E-6
0.97	0.49505182445644974	0.5049209579379257	8.80135446172803E-6	8.80135446172803E-6	9.614896701757343E-6
0.96	0.49505180100654483	0.504920043465944	8.801355139987748E-6	8.801355139987748E-6	1.055281723233262E-5
0.95	0.49505177308780546	0.5049189547235678	8.801355947502983E-6	8.801355947502983E-6	1.1669476725606036E-5
0.94	0.49505173928825624	0.5049176366482585	8.801356925113784E-6	8.801356925113784E-6	1.3021349640017715E-5
0.9299999999999999	0.49505169753105965	0.5049160082499045	8.801358132889593E-6	8.801358132889593E-6	1.4691502765509164E-5
0.92	0.49505164463097034	0.5049139453140578	8.801359662960468E-6	8.801359662960468E-6	1.6807335650513673E-5
0.91	0.4950515754410341	0.5049112471257937	8.801361664195429E-6	8.801361664195429E-6	1.9574709844640257E-5
0.9	0.4950514810675392	0.5049075668585545	8.801364393835014E-6	8.801364393835014E-6	2.3349345124055534E-5
0.89	0.49505134470215345	0.5049022490406283	8.801368338040247E-6	8.801368338040247E-6	2.8803520530035218E-5
0.88	0.495051130298526	0.5048938879786107	8.801374539411273E-6	8.801374539411273E-6	3.73789737794977E-5
0.87	0.4950507440158749	0.5048788241794383	8.801385712188293E-6	8.801385712188293E-6	5.282903328655481E-5
0.86	0.4950498408945752	0.5048436053111889	8.801411833965055E-6	8.801411833965055E-6	8.895097060778956E-5
0.85	0.4950452863884955	0.5046659940155764	8.801543568890373E-6	8.801543568890373E-6	2.711165088297985E-4
0.84	0.47893521125223837	1.683090112689359E-4	8.793187849513009E-6	8.793187849513009E-6	0.5208788933608249
0.83	0.474839199656935	7.410054880534454E-5	8.343588976872649E-6	8.343588976872649E-6	0.525070012616292
0.8200000000000001	0.4708144610824948	4.80614322389378E-5	7.950091968980576E-6	7.950091968980576E-6	0.5291215773013324
0.81	0.46685773731544367	3.585811186400635E-5	7.602828990021359E-6	7.602828990021359E-6	0.5330911989147092
0.8	0.46296709559223126	2.877788396970869E-5	7.294106083569373E-6	7.294106083569373E-6	0.5369895383116337
0.79	0.4591408269819006	2.4154338311060708E-5	7.017845292808342E-6	7.017845292808342E-6	0.540820982989198
0.78	0.4553773199529194	2.089788362209329E-5	6.769182522794417E-6	6.769182522794417E-6	0.5445882437984019
0.77	0.45167502998901177	1.8480281454300115E-5	6.544179116430039E-6	6.544179116430039E-6	0.5482934013713038
0.76	0.4480324686202294	1.6614386703387923E-5	6.33961181381565E-6	6.33961181381565E-6	0.551938237769442
0.75	0.4444481980197855	1.5130687804300084E-5	6.152817401340884E-6	6.152817401340884E-6	0.5555243656576043
0.74	0.44092082760635076	1.3922664870652632E-5	5.981576147432094E-6	5.981576147432094E-6	0.559053286576486
0.73	0.43744901150924353	1.2920016750791213E-5	5.824023184070524E-6	5.824023184070524E-6	0.5625264204276436
0.72	0.43403144646714287	1.207447324770493E-5	5.678580319843682E-6	5.678580319843682E-6	0.5659451218989701
0.71	0.4306668699779911	1.1351792048304326E-5	5.543902992935111E-6	5.543902992935111E-6	0.569310690423975
0.7	0.4273540586143624	1.072700803905929E-5	5.4188385824540834E-6	5.4188385824540834E-6	0.5726243767004304
0.69	0.4240918264601695	1.0181490791737974E-5	5.30239333865385E-6	5.30239333865385E-6	0.575887387262359
0.6799999999999999	0.42087902364396634	9.701055199764326E-6	5.193705922467973E-6	5.193705922467973E-6	0.5791008878889926
0.6699999999999999	0.4177145349537753	9.274710266950634E-6	5.0920260629887945E-6	5.0920260629887945E-6	0.5822660062838259
0.6599999999999999	0.41459727852349315	8.893807983621613E-6	4.996697214087017E-6	4.996697214087017E-6	0.5853838342740962
0.6499999999999999	0.4115262045838055	8.55145058792145E-6	4.907142362409617E-6	4.907142362409617E-6	0.5884554296808799
0.64	0.4085002942722386	8.242069105282259E-6	4.822852338344486E-6	4.822852338344486E-6	0.5914818179539809
0.63	0.4055185584980404	7.961118077677966E-6	4.7433761296517E-6	4.7433761296517E-6	0.5944639936316217
0.62	0.40258003685828114	7.704850754064176E-6	4.6683128085790204E-6	4.6683128085790204E-6	0.5974029216653443
0.61	0.39968379660204734	7.4701510411689075E-6	4.5973047673757235E-6	4.5973047673757235E-6	0.6002995386373755
0.6	0.3968289316399588	7.2544061703266715E-6	4.530032021314136E-6	4.530032021314136E-6	0.6031547538898271
0.59	0.3940145615965065	7.0554090179636705E-6	4.466207387715161E-6	4.466207387715161E-6	0.6059694505797005
0.5800000000000001	0.3912398309029269	6.87128232398082E-6	4.405572387754606E-6	4.405572387754606E-6	0.6087444866699734
0.5700000000000001	0.38850390792850364	6.700419287041964E-6	4.347893747710193E-6	4.347893747710193E-6	0.6114806958647163
0.56	0.38580598414833966	6.541436551297589E-6	4.292960399790232E-6	4.292960399790232E-6	0.6141788884943081
0.55	0.3831452733457774	6.393136670292657E-6	4.240580901255641E-6	4.240580901255641E-6	0.6168398523557509
0.54	0.380521010847754	6.254477891636248E-6	4.1905812053182435E-6	4.1905812053182435E-6	0.6194643535119448
0.53	0.3779324527914938	6.124549649124324E-6	4.142802729120204E-6	4.142802729120204E-6	0.6220531370533979
0.52	0.3753788754210248	6.00255254292477E-6	4.097100673605706E-6	4.097100673605706E-6	0.6246069278250851
0.51	0.3728595744120994	5.887781877355962E-6	4.053342557785274E-6	4.053342557785274E-6	0.627126431120908
0.5	0.3703738642241803	5.7796140399120236E-6	4.0114069361404575E-6	4.0114069361404575E-6	0.6296123333479076
0.49	0.3679210774782227	5.677495165425296E-6	3.971182273016521E-6	3.971182273016521E-6	0.6320653026620648
0.48	0.36550056435905764	5.580931650268824E-6	3.932565952033783E-6	3.932565952033783E-6	0.6344859895773904
0.47	0.36311169204124094	5.489482173672612E-6	3.895463401992706E-6	3.895463401992706E-6	0.6368750275497799
0.45999999999999996	0.3607538441373003	5.402750954000744E-6	3.859787323597557E-6	3.859787323597557E-6	0.6392330335370973
0.44999999999999996	0.3584264201673583	5.320382022587474E-6	3.825457003687107E-6	3.825457003687107E-6	0.6415606085366101
0.43999999999999995	0.3561288350491746	5.242054340398777E-6	3.7923977056339986E-6	3.7923977056339986E-6	0.6438583381010728
0.42999999999999994	0.3538605186076892	5.167477616254001E-6	3.760540126221507E-6	3.760540126221507E-6	0.6461267928344416
0.42000000000000004	0.3516209151032042	5.096388711770581E-6	3.729819910691322E-6	3.729819910691322E-6	0.6483665288682625
0.41000000000000003	0.3494094827773785	5.02854853918611E-6	3.700177218820934E-6	3.700177218820934E-6	0.6505780883196444
0.4	0.3472256934162566	4.963739374984058E-6	3.6715563358740387E-6	3.6715563358740387E-6	0.652761999731698
0.39	0.3450690319295898	4.9017625257222715E-6	3.6439053231018056E-6	3.6439053231018056E-6	0.6549187784972371
0.38	0.3429389959457433	4.8424362933443535E-6	3.6171757031825076E-6	3.6171757031825076E-6	0.6570489272665572
0.37	0.3408350954215186	4.7855941960828314E-6	3.591322176591063E-6	3.591322176591063E-6	0.6591529363399337
0.36	0.3387568522662569	4.731083408265227E-6	3.5663023654080366E-6	3.5663023654080366E-6	0.6612312840456033
0.35	0.33670379997961486	4.678763388230872E-6	3.5420765815199884E-6	3.5420765815199884E-6	0.663284437103833
0.33999999999999997	0.33467548330243446	4.628504668419253E-6	3.518607616544107E-6	3.518607616544107E-6	0.6653128509776653
0.32999999999999996	0.33267145788016006	4.580187785699884E-6	3.495860551138503E-6	3.495860551138503E-6	0.667316970210952
0.31999999999999995	0.33069128993827956	4.53370233333848E-6	3.4738025816427553E-6	3.4738025816427553E-6	0.6692972287542218
0.30999999999999994	0.32873455596928847	4.488946118762247E-6	3.4524028622384196E-6	3.4524028622384196E-6	0.6712540502788692
0.29999999999999993	0.32680084243070506	4.445824413601029E-6	3.4316323610323925E-6	3.4316323610323925E-6	0.6731878484801584
0.29000000000000004	0.32488974545368354	4.404249284421495E-6	3.411463728651375E-6	3.411463728651375E-6	0.6750990273695747
0.28	0.32300087056179183	4.364138994202724E-6	3.3918711780961572E-6	3.3918711780961572E-6	0.6769879815568579
0.27	0.3211338323995451	4.325417465981237E-6	3.372830374746381E-6	3.372830374746381E-6	0.6788550965222384
0.26	0.31928825447030074	4.288013801259535E-6	3.3543183355289856E-6	3.3543183355289856E-6	0.6807007488792283
0.25	0.31746376888314	4.251861846763696E-6	3.3363133363717838E-6	3.3363133363717838E-6	0.6825253066283395
0.24	0.3156600161083807	4.21689980398077E-6	3.318794827159001E-6	3.318794827159001E-6	0.6843291294021598
0.22999999999999998	0.3138766447413781	4.183069876626863E-6	3.301743353488321E-6	3.301743353488321E-6	0.6861125687020367
0.21999999999999997	0.3121133112742867	4.150317951816071E-6	3.2851404846035127E-6	3.2851404846035127E-6	0.6878759681267916
0.20999999999999996	0.31036967987547504	4.118593311230361E-6	3.26896874694118E-6	3.26896874694118E-6	0.6896196635937185
0.19999999999999996	0.3086454221762921	4.087848369047851E-6	3.2532115627880513E-6	3.2532115627880513E-6	0.691343983552214
0.18999999999999995	0.30694021706490404	4.0580384337811295E-6	3.2378531935958948E-6	3.2378531935958948E-6	0.6930492491902738
0.17999999999999994	0.30525375048692716	4.0291214915190925E-6	3.222878687546957E-6	3.222878687546957E-6	0.6947357746342059
0.16999999999999993	0.3035857152525978	4.001058008360769E-6	3.2082738310022475E-6	3.2082738310022475E-6	0.6964038671417304
0.16000000000000003	0.30193581085023047	3.973810750088026E-6	3.1940251035017124E-6	3.1940251035017124E-6	0.698053827288811
0.15000000000000002	0.3003037432657266	3.947344617347003E-6	3.1801196360165073E-6	3.1801196360165073E-6	0.6996859491503837
0.14	0.29868922480790583	3.921626494804367E-6	3.1665451721825848E-6	3.1665451721825848E-6	0.7013005204752567
0.13	0.2970919739394411	3.896625112915167E-6	3.153290032270055E-6	3.153290032270055E-6	0.7028978228553813
0.12	0.29551171511319063	3.872310921089195E-6	3.1403430796658402E-6	3.1403430796658402E-6	0.7044781318897299
0.10999999999999999	0.29394817861372546	3.8486559711738016E-6	3.1276936896671244E-6	3.1276936896671244E-6	0.7060417173429226
0.09999999999999998	0.2924011004038614	3.8256338102877895E-6	3.1153317204022834E-6	3.1153317204022834E-6	0.7075888432988853
0.08999999999999997	0.2908702219760119	3.8032193821418828E-6	3.103247485711565E-6	3.103247485711565E-6	0.7091197683096331
0.07999999999999996	0.2893552902081871	3.7813889360722706E-6	3.0914317298354065E-6	3.0914317298354065E-6	0.7106347455394164
0.06999999999999995	0.28785605722446905	3.760119943092792E-6	3.0798756037713053E-6	3.0798756037713053E-6	0.7121340229043803
0.05999999999999994	0.28637228025980216	3.7393910183419573E-6	3.0685706431722434E-6	3.0685706431722434E-6	0.7136178432078929
0.04999999999999993	0.2849037215289446	3.7191818493636884E-6	3.057508747670759E-6	3.057508747670759E-6	0.7150864442717096
