tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.99	0.36914278333553185	2.8639029691347704E-6	2.8639029691347704E-6	0.20958334813551688	0.10584045906157734	0.10584045906157734	0.20958334813551688	1.9372229757993178E-6	1.9372229757993178E-6
0.98	0.3691427833355285	2.863902969134668E-6	2.863902969134668E-6	0.20958330857999788	0.10584043909349065	0.10584043909349065	0.20958330857999788	1.9967410310759833E-6	1.9967410310759833E-6
0.97	0.36914278333549155	2.863902969134296E-6	2.863902969134296E-6	0.20958326736896657	0.10584041827096256	0.10584041827096256	0.20958326736896657	2.0587650730423194E-6	2.0587650730423194E-6
0.96	0.36914278333548817	2.8639029691331806E-6	2.8639029691331806E-6	0.2095832243875407	0.10584039658593819	0.10584039658593819	0.2095832243875407	2.1234567755658753E-6	2.1234567755658753E-6
0.95	0.36914278333547806	2.863902969133061E-6	2.863902969133061E-6	0.20958317955184982	0.10584037390471192	0.10584037390471192	0.20958317955184982	2.1909920258608206E-6	2.1909920258608206E-6
0.94	0.3691427833354746	2.863902969132756E-6	2.863902969132756E-6	0.20958313264418243	0.10584035022545411	0.10584035022545411	0.20958313264418243	2.2615625212463387E-6	2.2615625212463387E-6
0.9299999999999999	0.36914278332628725	2.863902969132649E-6	2.863902969132649E-6	0.2095830836085668	0.10584032547100629	0.10584032547100629	0.2095830836085668	2.3353775866709216E-6	2.3353775866709216E-6
0.92	0.3691427833262838	2.8639029691282402E-6	2.8639029691282402E-6	0.20958303226333572	0.10584029952432793	0.10584029952432793	0.20958303226333572	2.4126662481193907E-6	2.4126662481193907E-6
0.91	0.3691427833262735	2.863902969127936E-6	2.863902969127936E-6	0.20958297840042553	0.10584027234117815	0.10584027234117815	0.20958297840042553	2.4936796077273186E-6	2.4936796077273186E-6
0.9	0.3691427833262342	2.8639029691278354E-6	2.8639029691278354E-6	0.20958292193197733	0.10584024381862644	0.10584024381862644	0.20958292193197733	2.5786935697857372E-6	2.5786935697857372E-6
0.89	0.3691427833262301	2.8639029691278036E-6	2.8639029691278036E-6	0.20958286256709005	0.10584021384266587	0.10584021384266587	0.20958286256709005	2.668011980714305E-6	2.668011980714305E-6
0.88	0.3691427833262197	2.86390296912672E-6	2.86390296912672E-6	0.20958280016003356	0.10584018232724574	0.10584018232724574	0.20958280016003356	2.761970263131745E-6	2.761970263131745E-6
0.87	0.3691427833260727	2.8639029691267245E-6	2.8639029691267245E-6	0.20958273438739947	0.10584014910653458	0.10584014910653458	0.20958273438739947	2.860939626900849E-6	2.860939626900849E-6
0.86	0.3691427833260686	2.8639029691278303E-6	2.8639029691278303E-6	0.20958266501142045	0.1058401140769384	0.1058401140769384	0.20958266501142045	2.9653319816332538E-6	2.9653319816332538E-6
